text,label
I feel so stressed about my exams and I can't sleep at night,stress
I had a great day at work today and everything went well,normal
I don't want to live anymore nothing matters,high_risk
Today was a regular day nothing special happened,normal
I feel so anxious about my job interview tomorrow,stress
I want to hurt myself I feel so hopeless,high_risk
Had a nice dinner with friends and enjoyed the evening,normal
I can't stop worrying about everything in my life,stress
Nobody cares about me I should just disappear,high_risk
I finished my homework and now I'm watching TV,normal
My heart is racing and I feel like I can't breathe,stress
I've been thinking about ending it all,high_risk
The weather is nice today I went for a walk,normal
I feel overwhelmed with all my responsibilities,stress
I feel worthless and like a burden to everyone,high_risk
Just had a normal breakfast and going to class,normal
I'm so worried about money I can't focus on anything,stress
I want to die nobody understands me,high_risk
Read a good book today it was quite enjoyable,normal
I'm having panic attacks more frequently now,stress
I've been cutting myself to feel something,high_risk
Played video games with my brother it was fun,normal
I feel like I'm losing control of my emotions,stress
I don't see any reason to continue living,high_risk
Went grocery shopping and cooked a nice meal,normal
I can't eat or sleep properly because of stress,stress
I've been planning how to end my life,high_risk
Had coffee with a colleague and chatted about work,normal
Everything feels hopeless and I'm always crying,stress
I want to jump off a bridge and end everything,high_risk
Watched a movie with my family last night,normal
I feel so much pressure from my parents expectations,stress
Everyone would be better off without me,high_risk
Did some gardening today the flowers are blooming,normal
I'm constantly anxious and my hands are shaking,stress
I've started giving away my belongings I don't need them,high_risk
Took my dog for a walk in the park,normal
I feel trapped in my situation and see no way out,stress
I feel like I'm drowning and nobody can save me,high_risk
Had a productive meeting at work today,normal
I haven't slept in three days because of worry,stress
Sometimes I think the world would be better without me,high_risk
Learned a new recipe and tried cooking it,normal
My anxiety is getting worse and affecting my daily life,stress
I wrote a suicide note last night,high_risk
Went to the gym and had a good workout,normal
I feel like I'm going to have a mental breakdown,stress
I keep thinking about ways to kill myself,high_risk
Visited my grandparents they were happy to see me,normal
I'm burned out from work and feel emotionally drained,stress
I've already decided to end my life tonight,high_risk
Studied for my exam and feel prepared,normal
I can't concentrate and feel disconnected from reality,stress
I feel dead inside nothing brings me joy anymore,high_risk
Made plans with friends for the weekend,normal
I'm so stressed I've been getting headaches every day,stress
I'm standing on the edge and looking down,high_risk
Cleaned my room and organized my desk,normal
I feel like I'm failing at everything in life,stress
Life is not worth living I am done,high_risk
Went cycling in the morning the air was fresh,normal
My chest hurts from anxiety and constant worrying,stress
I took pills hoping to not wake up,high_risk
Had a normal day at school nothing interesting,normal
I'm terrified about my future and where I'm heading,stress
I scratched my arms again to feel the pain,high_risk
Baked cookies for my neighbors they loved them,normal
I feel completely exhausted mentally and physically,stress
I tried to strangle myself with a belt,high_risk
Listened to music and relaxed in the evening,normal
I get angry randomly at small things can't control it,stress
I have been stockpiling medication for when I'm ready,high_risk
Met a friend for lunch and caught up on life,normal
I wake up every morning dreading the day ahead,stress
I feel like a failure and want to give up on everything,high_risk
Fixed my bicycle and went for a ride,normal
The pressure at work is making me physically sick,stress
I am going to slit my wrists there is no other way,high_risk
Attended a yoga class felt really peaceful after,normal
I can feel my mental health deteriorating rapidly,stress
I have access to a gun and I know what to do,high_risk
Had an ice cream with my kids at the park,normal
I'm running on empty emotionally and can't keep going,stress
If I disappear tomorrow nobody would even notice,high_risk
Spent the afternoon reading at the library,normal
I feel paralyzed by fear and uncertainty about life,stress
I overdosed on purpose hoping to end the pain,high_risk
Helped a neighbor move their furniture today,normal
I'm so overwhelmed I just want to scream and cry,stress
I loaded the gun last night and sat with it for hours,high_risk
Went to a concert with friends had an amazing time,normal
My insomnia is getting worse and I feel like a zombie,stress
I don't deserve to be alive I am worthless,high_risk
Painted a watercolor landscape it turned out nice,normal
I can't stop negative thoughts they consume me constantly,stress
I already attempted and failed now I'll try harder,high_risk
Organized a birthday surprise for my best friend,normal
I feel like I'm drowning in responsibilities,stress
I can't take this pain anymore I want it to stop permanently,high_risk
Took a photography walk and captured beautiful sunsets,normal
I've been isolating myself from everyone for weeks,stress
I texted goodbye messages to everyone I care about,high_risk
Volunteered at the animal shelter today felt great,normal
My stress levels have been through the roof lately,stress
I am at the bridge right now about to jump,high_risk
Enrolled in an online course to learn a new skill,normal
I feel like I'm about to explode from the pressure,stress
This is my last night alive I've made my peace,high_risk
Had a video call with old college friends so nice,normal
I've been having severe mood swings and emotional outbursts,stress
I swallowed all the pills in the cabinet,high_risk
Tried a new restaurant the food was delicious,normal
I can't handle any more bad news I'm at my limit,stress
I am texting from the hospital after my attempt,high_risk
Completed a puzzle with my family over the weekend,normal
Every little thing makes me anxious and I can't relax,stress
My sadness is unbearable and I want to end it today,high_risk
Talked to my teacher about career options felt inspired,normal
Financial problems are causing me extreme stress and anxiety,stress
I left a note on the table and I'm walking to the river,high_risk
Repaired the leaky faucet by myself feeling accomplished,normal
I feel numb and disconnected from everyone around me,stress
Please forgive me everyone this is the end for me,high_risk
Enjoying the weekend with my cat just relaxing at home,normal
I'm so stressed my hair has been falling out,stress
If you're reading this I'm already gone,high_risk
Planted some vegetables in my backyard garden,normal
Relationship problems are causing me unbearable stress,stress
I don't want to be here anymore I'm leaving forever,high_risk
Had lunch at the cafeteria with my classmates,normal
I feel so lonely even when surrounded by people,stress
I've been researching the most painless way to die,high_risk
Went swimming at the local pool felt refreshed,normal
I constantly feel like I'm not good enough for anything,stress
Nobody will miss me when I'm gone I'm sure of it,high_risk
Reorganized my bookshelf by genre looks great now,normal
Work deadlines are piling up and I'm panicking,stress
I already have the rope tied and ready,high_risk
Took a scenic drive through the countryside beautiful views,normal
I feel emotionally exhausted and can barely function,stress
This is my final message goodbye everyone,high_risk
Cooked a traditional family recipe for dinner tonight,normal
I'm scared of my own thoughts they keep getting darker,stress
I drove to a tall building rooftop to think about jumping,high_risk
Spent the morning doing laundry and cleaning the house,normal
I feel like everyone is judging me and I can't cope,stress
I mixed chemicals to create poison for myself,high_risk
Went to the farmers market bought fresh fruits and veggies,normal
My body aches from tension and constant stress,stress
I walked to the train station planning to step in front,high_risk
Finished a jigsaw puzzle with my kids they loved it,normal
I feel like screaming but nothing comes out,stress
